GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
1,David,W.,Bates,"MD, MSc","Chief Innovation Officer, Brigham and Women's Hospital; Professor of Medicine","Harvard Medical School; Professor in the Department of Health Policy and Management, Harvard School of Public Health",Keynote Speakers
2,Thomas,H.,Lee,"MD, MSc","Chief Medical Officer, Press Ganey, Inc.; Professor of Medicine","Harvard Medical School; Professor in the Department of Health Policy and Management, Harvard School of Public Health",Keynote Speakers
3,Gregg,,Meyer,"MD, MSc","Chief Clinical Officer, Partners Healthcare; Lecturer on Medicine, Harvard Medical School",,Keynote Speakers
4,Stanley,,Ashley,MD,"Chief Medical Officer, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
5,Jonathan,,Baum,,"Lead Consultant, Performance Improvement",Brigham and Women's Hospital,Session Faculty
6,Jennifer,,Beloff,"RN, MSN, APN-C",Director of Quality Programs,Brigham and Women's Hospital,Session Faculty
7,Ellie,,Bergeron,RN,"Nurse Director, Center for Nursing Excellence",Brigham and Women's Hospital,Session Faculty
8,Rachelle,,Bernacki,MD,"Director of Quality Initiatives, Psychosocial Oncology and Palliative Care, Dana-Farber Cancer Institute",Harvard Medical School Faculty,Session Faculty
9,Claire,,Bond,,"Senior Consultant, Performance Improve–ment",Brigham and Women's Hospital,Session Faculty
10,Kathryn,,Britton,"MD, MPH","Medical Director of Care Transitions, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
11,Michael,,Calderwood,MD,"Associate Director of Antimicrobial Stewardship, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
12,William,,Churchill,"RPh, MS",Chief of Service for the Department of Pharmacy Services,Brigham and Women's Hospital,Session Faculty
13,Karen,,Conley,"DNP, RN",Chief Nursing Officer,Newton Wellesley Hospital,Session Faculty
14,Christian,,Dankers,"MD, MBA","Assistant Medical Director for Quality and Safety, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
15,Jo,Ann,David-Kasdan,RN,"Senior Consultant, Quality Programs, Brigham and Women's Hospital",,Session Faculty
16,Sonali,,Desai,"MD, MPH","Rheumatologist, Medical Director of Ambulatory Patient Safety, Medical Director of Quality in the Department of Medicine, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
17,Maura,,Donnelly,,"Senior Consultant, Performance Improvement",Brigham and Women's Hospital,Session Faculty
18,Jessica,,Dudley,MD,"Chief Medical Officer, Brigham and Women's Physician's Organization",Harvard Medical School Faculty,Session Faculty
19,Patricia,,Dykes,"PhD, RN","Senior Nurse Scientist, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
20,Abigail,,Ehret,"MS, RN",Senior Consultant,"Quality Programs, Brigham and Women's Hospital",Session Faculty
21,Deborah,,Elliot,,"Project Manager, Facilities and Planning",Brigham and Women's Hospital,Session Faculty
